n	cm1	cm2	cm3	cm4	cm5	cm6	cm7	cm8
50	7500	1275	6275	123775	3150	850	1275	2500	
100	30000	5050	25050	995050	12550	3400	5050	20000	
150	67500	11325	56325	3363825	28200	7500	11325	67500	
200	120000	20100	100100	7980100	50100	13400	20100	160000	
250	187500	31375	156375	15593875	78250	21000	31375	312500	
300	270000	45150	225150	26955150	112650	30000	45150	540000	
350	367500	61425	306425	42813925	153300	40950	61425	857500	
400	480000	80200	400200	63920200	200200	53600	80200	1280000	
450	607500	101475	506475	91023975	253350	67500	101475	1822500	
500	750000	125250	625250	124875250	312750	83500	125250	2500000	
550	907500	151525	756525	166224025	378400	101200	151525	3327500	
600	1080000	180300	900300	215820300	450300	120000	180300	4320000	
650	1267500	211575	1056575	274414075	528450	141050	211575	5492500	
700	1470000	245350	1225350	342755350	612850	163800	245350	6860000	
750	1687500	281625	1406625	421594125	703500	187500	281625	8437500	
800	1920000	320400	1600400	511680400	800400	213600	320400	10240000	
850	2167500	361675	1806675	613764175	903550	241400	361675	12282500	
900	2430000	405450	2025450	728595450	1012950	270000	405450	14580000	
950	2707500	451725	2256725	856924225	1128600	301150	451725	17147500